Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
494,3575.6,-9.7,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.97
495,1514.3,-10.2,1.2,524,MISFIRE,No pressure rise post-spark,0.00027,99.97
496,3619.5,-12.7,1.33,518,MISFIRE,No pressure rise post-spark,8e-05,99.97
497,3111.7,-12.9,1.31,518,MISFIRE,No pressure rise post-spark,0.0001,99.97
498,6475.0,-13.9,1.11,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
499,7171.7,-14.7,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,99.97
500,6279.8,-9.2,1.26,527,MISFIRE,No pressure rise post-spark,3e-05,99.97
501,1829.8,-11.1,1.21,521,MISFIRE,No pressure rise post-spark,0.00021,99.97
502,1589.3,-14.8,1.08,511,MISFIRE,No pressure rise post-spark,0.00024,99.97
503,4216.0,-8.5,1.46,530,MISFIRE,No pressure rise post-spark,7e-05,99.97
504,3430.4,-13.4,1.45,530,MISFIRE,No pressure rise post-spark,9e-05,99.97
505,4387.2,-17.7,1.14,499,MISFIRE,No pressure rise post-spark,6e-05,99.97
506,2468.6,-15.6,0.67,447,MISFIRE,No pressure rise post-spark,0.00011,99.97
507,7186.3,-13.1,0.99,515,MISFIRE,No pressure rise post-spark,2e-05,99.97
508,1945.6,-10.4,1.26,524,MISFIRE,No pressure rise post-spark,0.00019,99.97
509,4198.1,-14.7,1.26,511,MISFIRE,No pressure rise post-spark,6e-05,99.97
510,1737.6,-12.6,1.17,518,MISFIRE,No pressure rise post-spark,0.00022,99.97
511,3048.7,-15.2,1.19,507,MISFIRE,No pressure rise post-spark,0.0001,99.97
512,6061.9,-14.8,1.13,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
513,2555.8,-9.0,1.36,527,MISFIRE,No pressure rise post-spark,0.00013,99.97
514,5186.8,-15.9,1.18,507,MISFIRE,No pressure rise post-spark,4e-05,99.97
515,5857.2,-13.5,1.19,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
516,5041.2,-15.2,1.19,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
517,6602.4,-13.7,1.09,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
518,2020.5,-14.6,1.14,511,MISFIRE,No pressure rise post-spark,0.00017,99.97
519,1925.6,-17.5,1.03,499,MISFIRE,No pressure rise post-spark,0.00018,99.97
520,2859.7,-12.1,1.29,518,MISFIRE,No pressure rise post-spark,0.00011,99.97
521,1896.1,-15.8,1.09,507,MISFIRE,No pressure rise post-spark,0.00019,99.97
522,5434.5,-13.9,1.23,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
523,4670.1,-8.9,1.45,530,MISFIRE,No pressure rise post-spark,6e-05,99.97
524,6671.8,-16.0,1.01,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
525,4437.0,-16.4,0.68,443,MISFIRE,No pressure rise post-spark,5e-05,99.97
526,4871.9,-16.2,1.16,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
527,6670.1,-8.5,1.22,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
528,6527.0,-10.9,1.19,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
529,2448.3,-12.5,1.26,518,MISFIRE,No pressure rise post-spark,0.00014,99.97
530,3964.1,-13.3,1.3,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
531,3178.2,-15.9,1.2,507,MISFIRE,No pressure rise post-spark,9e-05,99.97
532,3486.3,-13.1,1.29,515,MISFIRE,No pressure rise post-spark,8e-05,99.97
533,4104.4,-17.9,1.14,499,MISFIRE,No pressure rise post-spark,6e-05,99.97
534,2174.5,-10.2,1.29,524,MISFIRE,No pressure rise post-spark,0.00016,99.97
535,2161.5,-15.0,1.12,507,MISFIRE,No pressure rise post-spark,0.00016,99.97
536,2947.6,-10.6,1.36,524,MISFIRE,No pressure rise post-spark,0.00011,99.97
537,3123.9,-12.1,1.31,518,MISFIRE,No pressure rise post-spark,0.0001,99.97
538,5419.2,-13.2,1.23,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
539,2261.5,-14.8,1.17,511,MISFIRE,No pressure rise post-spark,0.00015,99.97
